Year,Airport,Total_Passengers
2019,GATWICK,46576473
2019,HEATHROW,80890031
2019,ABERDEEN,2912883
2019,EDINBURGH,14737497
2019,GLASGOW,8847100
2019,INVERNESS,938232
2019,MANCHESTER,29397357
2019,PRESTWICK,640055
2020,GATWICK,10173431
2020,HEATHROW,22111326
2020,ABERDEEN,994077
2020,EDINBURGH,3474879
2020,GLASGOW,1946474
2020,INVERNESS,241167
2020,MANCHESTER,7034856
2020,PRESTWICK,90790
2021,GATWICK,6261814
2021,HEATHROW,19393886
2021,ABERDEEN,1075639
2021,EDINBURGH,3024960
2021,GLASGOW,2072546
2021,INVERNESS,357584
2021,MANCHESTER,6085103
2021,PRESTWICK,78069
2022,GATWICK,32835381
2022,HEATHROW,61611838
2022,ABERDEEN,1960307
2022,EDINBURGH,11250211
2022,GLASGOW,6517585
2022,INVERNESS,700012
2022,MANCHESTER,23364471
2022,PRESTWICK,445211
2023,GATWICK,40897656
2023,HEATHROW,79180434
2023,ABERDEEN,2229918
2023,EDINBURGH,14396794
2023,GLASGOW,7358828
2023,INVERNESS,802338
2023,MANCHESTER,28096783
2023,PRESTWICK,524880
